filename,canvas label,structure,level
p0001,59r,Philosophia magnetica per principia propria proposita et ad prima in suo genere promota,0
p0002,59v,[blank],1
p0003,60r,Lectori,1
p0004,60v,[blank],1
p0005,61r,"Caput I. De nomine magnetis, peculiari Lapidi attributo dicti Lapidis inventione, et facultatum eius agnitione",1
p0006,61v,,
p0007,62r,,
p0008,62v,,
p0009,63r,,
p0010,63v,Caput II. Quid sit virtrus magnetica.,1
p0010,63v,Sectio I. Phoenomena magnetica non recte explicari per corpuscula a Magneticis diffusa,2
p0011,64r,,
p0012,64v,,
p0013,65r,,
p0014,65v,,
p0015,65bisr,[Sheet added],1
p0016,65bisv,,
p0017,66r,,
p0018,66v,,
p0019,67r,,
p0020,67v,,
p0021,68r,,
p0022,68v,Parergon ad hostes formarum materialium,1
p0023,69r,,
p0024,69v,,
p0025,70r,Caput III. De vario modo existendi virtutis magneticae in suis subiectis,1
p0025,70r,"Sectio I. De prima varietate secundum quam virtus magnetica ab aliquibus permanenter possidetur, quae per illum ut suam operations magneticas exercent: alia sunt solium media propagationis illius [supra scripsit], ad ipsa",2
p0026,70v,,
p0027,71r,,
p0028,71v,"Sectio II. Principium proximum eorum quae in magneticis experimur est accidens, et de Genere qualitatis; productivum similis, peculiariter dispositivum. Magnetici in se ipso eiusdemque in ordine ad alia magnetica situativum",2
p0029,72r,,
p0030,72v,,
p0031,73r,"Sectio III. Quomodo Virtus Magnetica disponatur diversimode in subiecto, et ipsa sic pariter subiectum ad alia disponat.",2
p0032,73v,,
p0033,74r,,
p0034,74v,,
p0035,75r,,
p0036,75v,,
p0037,76r,,
p0038,76v,"Corollaria ex Praemissis quae philosophantibus ex veterum Chartis, vel recentiorum experimenta minus attente speculationibus erunt. Paradoxa.",1
p0039,77r,,
p0040,77v,[blank],1
p0041,78r,[blank],1
p0042,78v,[blank],1
